file,line,type,commit,author,date,time,timezone,datetime,depth,length
index.html,15,html,effe0a00,Dylan Berry,2025-10-09,17:21:09,-07:00,2025-10-09T17:21:09-07:00,4,87
index.html,16,html,effe0a00,Dylan Berry,2025-10-09,17:21:09,-07:00,2025-10-09T17:21:09-07:00,4,71
index.html,17,html,effe0a00,Dylan Berry,2025-10-09,17:21:09,-07:00,2025-10-09T17:21:09-07:00,4,83
index.html,18,html,ad896134,Dylan Berry,2025-10-16,16:09:24,-07:00,2025-10-16T16:09:24-07:00,2,8
index.html,19,html,def2c6db,Dylan Berry,2025-10-02,15:24:26,-07:00,2025-10-02T15:24:26-07:00,2,18
index.html,20,html,def2c6db,Dylan Berry,2025-10-02,15:24:26,-07:00,2025-10-02T15:24:26-07:00,2,1
index.html,21,html,def2c6db,Dylan Berry,2025-10-02,15:24:26,-07:00,2025-10-02T15:24:26-07:00,4,42
index.html,22,html,def2c6db,Dylan Berry,2025-10-02,15:24:26,-07:00,2025-10-02T15:24:26-07:00,4,0
index.html,23,html,def2c6db,Dylan Berry,2025-10-02,15:24:26,-07:00,2025-10-02T15:24:26-07:00,4,0
index.html,24,html,def2c6db,Dylan Berry,2025-10-02,15:24:26,-07:00,2025-10-02T15:24:26-07:00,4,0
index.html,25,html,def2c6db,Dylan Berry,2025-10-02,15:24:26,-07:00,2025-10-02T15:24:26-07:00,2,2
index.html,26,html,deffdbf4,Dylan Berry,2025-10-22,18:38:14,-07:00,2025-10-22T18:38:14-07:00,2,22
index.html,27,html,deffdbf4,Dylan Berry,2025-10-22,18:38:14,-07:00,2025-10-22T18:38:14-07:00,2,20
index.html,28,html,deffdbf4,Dylan Berry,2025-10-22,18:38:14,-07:00,2025-10-22T18:38:14-07:00,4,49
index.html,29,html,deffdbf4,Dylan Berry,2025-10-22,18:38:14,-07:00,2025-10-22T18:38:14-07:00,2,4
index.html,30,html,deffdbf4,Dylan Berry,2025-10-22,18:38:14,-07:00,2025-10-22T18:38:14-07:00,0,0
index.html,31,html,deffdbf4,Dylan Berry,2025-10-22,18:38:14,-07:00,2025-10-22T18:38:14-07:00,0,0
index.html,32,html,deffdbf4,Dylan Berry,2025-10-22,18:38:14,-07:00,2025-10-22T18:38:14-07:00,2,117
index.html,33,html,deffdbf4,Dylan Berry,2025-10-22,18:38:14,-07:00,2025-10-22T18:38:14-07:00,2,28
index.html,34,html,effe0a00,Dylan Berry,2025-10-09,17:21:09,-07:00,2025-10-09T17:21:09-07:00,2,0
index.html,35,html,89d2ceb4,Dylan Berry,2025-10-31,18:34:39,-07:00,2025-10-31T18:34:39-07:00,2,0
index.html,36,html,89d2ceb4,Dylan Berry,2025-10-31,18:34:39,-07:00,2025-10-31T18:34:39-07:00,0,0
index.html,37,html,def2c6db,Dylan Berry,2025-10-02,15:24:26,-07:00,2025-10-02T15:24:26-07:00,0,5
index.html,38,html,def2c6db,Dylan Berry,2025-10-02,15:24:26,-07:00,2025-10-02T15:24:26-07:00,0,5
